last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2019-02-18,13,Private room,130857174,Real Bed,2002,130857174,Hotel,Hong Kong,False,31,Hong Kong,7,32,53,144,2019,02,18
2018-07-23,3,Private room,132158539,Real Bed,47,132158539,Apartment,Turkey,False,1,Istanbul,30,60,90,365,2018,07,23
2019-03-04,202,Private room,131483077,Real Bed,65,131483077,Apartment,Spain,False,2,Barcelona,5,17,32,306,2019,03,04
2019-03-01,32,Private room,133432723,Real Bed,26,133432723,Apartment,Spain,False,1,Barcelona,25,55,82,107,2019,03,01
2019-01-13,8,Entire home/apt,52243859,Real Bed,129,52243859,Apartment,Australia,False,1,Sydney,4,34,64,339,2019,01,13
2018-12-17,30,Entire home/apt,10002884,Real Bed,581,10002884,Apartment,Hong Kong,False,1,Hong Kong,17,47,77,77,2018,12,17
2019-02-19,37,Entire home/apt,6698199,Real Bed,101,6698199,Apartment,Canada,True,2,Montreal,23,53,81,229,2019,02,19
2019-01-02,76,Entire home/apt,54820821,Real Bed,70,54820821,Apartment,Spain,False,20,Barcelona,9,22,45,246,2019,01,02
2019-02-01,18,Private room,108559367,Real Bed,30,108559367,Apartment,Portugal,True,6,Porto,18,40,51,299,2019,02,01
2019-01-28,72,Entire home/apt,8740629,Real Bed,129,8740629,Apartment,Australia,False,2,Sydney,7,16,42,76,2019,01,28
2017-08-31,7,Private room,136775935,Real Bed,38,136775935,Apartment,Spain,False,1,Barcelona,0,0,0,0,2017,08,31
2019-01-28,3,Private room,30695295,Real Bed,60,30695295,Guest suite,Portugal,False,6,Porto,30,60,90,365,2019,01,28
2019-01-13,22,Private room,20072624,Real Bed,30,20072624,House,Portugal,False,1,Porto,0,0,1,260,2019,01,13
2019-01-30,91,Private room,16719641,Real Bed,34,16719641,Apartment,Portugal,False,11,Porto,12,12,12,119,2019,01,30
2019-02-18,45,Private room,83419447,Real Bed,43,83419447,House,Australia,False,2,Sydney,23,53,83,127,2019,02,18
2018-08-04,4,Entire home/apt,784984,Real Bed,107,784984,Apartment,Canada,False,2,Montreal,0,0,0,0,2018,08,04
2019-02-18,34,Private room,73478810,Real Bed,59,73478810,House,United States,True,6,New York,8,19,36,116,2019,02,18
2018-03-14,7,Entire home/apt,117465618,Real Bed,55,117465618,Loft,Portugal,False,5,Porto,29,59,89,179,2018,03,14
2019-02-19,28,Entire home/apt,71749435,Real Bed,80,71749435,Apartment,United States,False,1,New York,0,3,20,32,2019,02,19
2019-01-20,6,Entire home/apt,48881330,Real Bed,100,48881330,Apartment,United States,False,1,New York,0,0,0,126,2019,01,20
2019-02-28,22,Private room,137999892,Real Bed,34,137999892,House,United States,False,7,New York,4,23,53,328,2019,02,28
2019-02-02,71,Entire home/apt,1377085,Real Bed,60,1377085,Apartment,Portugal,True,5,Porto,14,38,60,308,2019,02,02
2018-10-16,1,Entire home/apt,15863875,Real Bed,200,15863875,Townhouse,Turkey,False,1,Istanbul,30,60,90,180,2018,10,16
2018-10-29,61,Private room,138400036,Real Bed,23,138400036,Apartment,Spain,False,1,Barcelona,0,0,0,0,2018,10,29
2019-01-03,7,Entire home/apt,28307663,Real Bed,170,28307663,Apartment,United States,False,1,New York,4,4,4,4,2019,01,03
2019-02-01,5,Entire home/apt,136437655,Real Bed,125,136437655,Condominium,United States,False,68,New York,1,22,43,252,2019,02,01
2019-01-01,53,Entire home/apt,140082945,Real Bed,119,140082945,Apartment,Canada,True,2,Montreal,0,0,0,0,2019,01,01
2017-12-29,1,Entire home/apt,6861839,Real Bed,500,6861839,Townhouse,United States,False,1,New York,0,0,0,0,2017,12,29
2019-02-18,51,Entire home/apt,9458290,Real Bed,120,9458290,Condominium,United States,False,6,New York,4,21,39,39,2019,02,18
2018-08-16,1,Private room,73005104,Real Bed,142,73005104,Apartment,Turkey,False,1,Istanbul,30,60,90,365,2018,08,16
2019-02-15,7,Entire home/apt,126555013,Real Bed,377,126555013,Condominium,United States,False,23,New York,13,22,31,216,2019,02,15
